seed,train_dataset,test_dataset,architecture,use_cbam,accuracy,precision,recall,f1_score,auc,val_loss,num_train_images,num_val_images,num_test_images,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_class_4,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_class_4,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,train_class_0,train_class_1,train_class_2,train_class_3,train_class_4,val_class_0,val_class_1,val_class_2,val_class_3,val_class_4,test_class_0,test_class_1,test_class_2,test_class_3,test_class_4,class_weight_0,class_weight_1,class_weight_2,class_weight_3,class_weight_4,use_class_weights,use_weighted_sampler,model_path,metrics_path,predictions_path,confusion_matrix_path
42,aptos,aptos,base,False,0.751219512195122,0.5003097147950089,0.5286666666666666,0.5139839698255539,0.8787046225986804,1.1686737537384033,1224,305,205,0.9509803921568627,0.59375,0.5818181818181818,0.375,0.0,0.97,0.6333333333333333,0.64,0.4,0.0,0.9603960396039604,0.6129032258064516,0.6095238095238096,0.3870967741935484,0.0,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_aptos\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_aptos\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_aptos\confusion_matrix.png
42,aptos,messidor,base,False,0.526829268292683,0.6114285714285714,0.28733333333333333,0.28562150652116053,0.6782952169505649,1.4054758548736572,1224,305,205,0.5238095238095238,0.2,0.6666666666666666,1.0,0.6666666666666666,0.99,0.03333333333333333,0.08,0.13333333333333333,0.2,0.6851211072664359,0.05714285714285714,0.14285714285714285,0.23529411764705882,0.3076923076923077,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_messidor\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_messidor\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_messidor\confusion_matrix.png
42,aptos,odir,base,False,0.47804878048780486,0.1484771573604061,0.2006666666666667,0.1424044365220836,0.619591251080555,1.4247796535491943,1224,305,205,0.49238578680203043,0.25,0.0,0.0,0.0,0.97,0.03333333333333333,0.0,0.0,0.0,0.6531986531986532,0.058823529411764705,0.0,0.0,0.0,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_odir\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_odir\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\base\seed_42\evaluations\test_odir\confusion_matrix.png
42,aptos,aptos,cbam,True,0.7414634146341463,0.5795528035775714,0.574,0.567048904890489,0.9151079584818126,1.2039625644683838,1224,305,205,0.9509803921568627,0.4888888888888889,0.6578947368421053,0.4,0.4,0.97,0.7333333333333333,0.5,0.26666666666666666,0.4,0.9603960396039604,0.5866666666666667,0.5681818181818182,0.32,0.4,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_aptos\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_aptos\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_aptos\confusion_matrix.png
42,aptos,messidor,cbam,True,0.48292682926829267,0.09850746268656715,0.198,0.13156146179401992,0.6434005261292188,1.414123296737671,1224,305,205,0.4925373134328358,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.6578073089700996,0.0,0.0,0.0,0.0,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_messidor\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_messidor\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_messidor\confusion_matrix.png
42,aptos,odir,cbam,True,0.47317073170731705,0.14696969696969697,0.21200000000000002,0.1574304889741131,0.5954486787688824,1.4276630878448486,1224,305,205,0.48484848484848486,0.0,0.0,0.0,0.25,0.96,0.0,0.0,0.0,0.1,0.6442953020134228,0.0,0.0,0.0,0.14285714285714285,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_odir\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_odir\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\aptos\cbam\seed_42\evaluations\test_odir\confusion_matrix.png
42,messidor,aptos,base,False,0.35121951219512193,0.32965591395950977,0.3613333333333334,0.286554016481554,0.6732803348321175,1.504258155822754,1224,305,205,0.9056603773584906,0.0,0.27586206896551724,0.19402985074626866,0.2727272727272727,0.48,0.0,0.16,0.8666666666666667,0.3,0.6274509803921569,0.0,0.20253164556962025,0.3170731707317073,0.2857142857142857,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_aptos\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_aptos\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_aptos\confusion_matrix.png
42,messidor,messidor,base,False,0.7463414634146341,0.6875089306977852,0.6859999999999999,0.6732452361989283,0.8954491912162542,1.2292158603668213,1224,305,205,0.7948717948717948,0.6470588235294118,0.75,0.5789473684210527,0.6666666666666666,0.93,0.36666666666666664,0.6,0.7333333333333333,0.8,0.8571428571428571,0.46808510638297873,0.6666666666666666,0.6470588235294118,0.7272727272727273,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_messidor\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_messidor\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_messidor\confusion_matrix.png
42,messidor,odir,base,False,0.4682926829268293,0.2760964438268746,0.27266666666666667,0.26147229306747044,0.6767922933885583,1.460539698600769,1224,305,205,0.6062992125984252,0.25,0.28888888888888886,0.23529411764705882,0.0,0.77,0.06666666666666667,0.26,0.26666666666666666,0.0,0.6784140969162996,0.10526315789473684,0.2736842105263158,0.25,0.0,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_odir\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_odir\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\base\seed_42\evaluations\test_odir\confusion_matrix.png
42,messidor,aptos,cbam,True,0.2,0.24104592013958653,0.23533333333333334,0.1832038050229742,0.6577292984321848,1.582801342010498,1224,305,205,0.6296296296296297,0.05263157894736842,0.32432432432432434,0.11864406779661017,0.08,0.17,0.1,0.24,0.4666666666666667,0.2,0.2677165354330709,0.06896551724137931,0.27586206896551724,0.1891891891891892,0.11428571428571428,734,184,238,48,20,183,46,59,12,5,100,30,50,15,10,0.3335149884223938,1.330434799194336,1.0285714864730835,5.099999904632568,12.239999771118164,True,False,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\cbam\seed_42\best_model.pt,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\cbam\seed_42\evaluations\test_aptos\metrics.json,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\cbam\seed_42\evaluations\test_aptos\predictions.csv,C:\Proyecto Integrador 2\retinopathy-generalization\outputs/factorial_experiments\messidor\cbam\seed_42\evaluations\test_aptos\confusion_matrix.png
