exp_id,model_type,true_label_id,true_label_name,pred_label_id,pred_label_name,count,is_correct
EXP1,baseline,0,No DR,0,No DR,,1
EXP1,baseline,0,No DR,1,Mild NPDR,,0
EXP1,baseline,0,No DR,2,Moderate NPDR,,0
EXP1,baseline,0,No DR,3,Severe NPDR,,0
EXP1,baseline,0,No DR,4,Proliferative DR,,0
EXP1,baseline,1,Mild NPDR,0,No DR,,0
EXP1,baseline,1,Mild NPDR,1,Mild NPDR,,1
EXP1,baseline,1,Mild NPDR,2,Moderate NPDR,,0
EXP1,baseline,1,Mild NPDR,3,Severe NPDR,,0
EXP1,baseline,1,Mild NPDR,4,Proliferative DR,,0
EXP1,baseline,2,Moderate NPDR,0,No DR,,0
EXP1,baseline,2,Moderate NPDR,1,Mild NPDR,,0
EXP1,baseline,2,Moderate NPDR,2,Moderate NPDR,,1
EXP1,baseline,2,Moderate NPDR,3,Severe NPDR,,0
EXP1,baseline,2,Moderate NPDR,4,Proliferative DR,,0
EXP1,baseline,3,Severe NPDR,0,No DR,,0
EXP1,baseline,3,Severe NPDR,1,Mild NPDR,,0
EXP1,baseline,3,Severe NPDR,2,Moderate NPDR,,0
EXP1,baseline,3,Severe NPDR,3,Severe NPDR,,1
EXP1,baseline,3,Severe NPDR,4,Proliferative DR,,0
EXP1,baseline,4,Proliferative DR,0,No DR,,0
EXP1,baseline,4,Proliferative DR,1,Mild NPDR,,0
EXP1,baseline,4,Proliferative DR,2,Moderate NPDR,,0
EXP1,baseline,4,Proliferative DR,3,Severe NPDR,,0
EXP1,baseline,4,Proliferative DR,4,Proliferative DR,,1
EXP2,baseline,0,No DR,0,No DR,,1
EXP2,baseline,0,No DR,1,Mild NPDR,,0
EXP2,baseline,0,No DR,2,Moderate NPDR,,0
EXP2,baseline,0,No DR,3,Severe NPDR,,0
EXP2,baseline,0,No DR,4,Proliferative DR,,0
EXP2,baseline,1,Mild NPDR,0,No DR,,0
EXP2,baseline,1,Mild NPDR,1,Mild NPDR,,1
EXP2,baseline,1,Mild NPDR,2,Moderate NPDR,,0
EXP2,baseline,1,Mild NPDR,3,Severe NPDR,,0
EXP2,baseline,1,Mild NPDR,4,Proliferative DR,,0
EXP2,baseline,2,Moderate NPDR,0,No DR,,0
EXP2,baseline,2,Moderate NPDR,1,Mild NPDR,,0
EXP2,baseline,2,Moderate NPDR,2,Moderate NPDR,,1
EXP2,baseline,2,Moderate NPDR,3,Severe NPDR,,0
EXP2,baseline,2,Moderate NPDR,4,Proliferative DR,,0
EXP2,baseline,3,Severe NPDR,0,No DR,,0
EXP2,baseline,3,Severe NPDR,1,Mild NPDR,,0
EXP2,baseline,3,Severe NPDR,2,Moderate NPDR,,0
EXP2,baseline,3,Severe NPDR,3,Severe NPDR,,1
EXP2,baseline,3,Severe NPDR,4,Proliferative DR,,0
EXP2,baseline,4,Proliferative DR,0,No DR,,0
EXP2,baseline,4,Proliferative DR,1,Mild NPDR,,0
EXP2,baseline,4,Proliferative DR,2,Moderate NPDR,,0
EXP2,baseline,4,Proliferative DR,3,Severe NPDR,,0
EXP2,baseline,4,Proliferative DR,4,Proliferative DR,,1
EXP3,baseline,0,No DR,0,No DR,,1
EXP3,baseline,0,No DR,1,Mild NPDR,,0
EXP3,baseline,0,No DR,2,Moderate NPDR,,0
EXP3,baseline,0,No DR,3,Severe NPDR,,0
EXP3,baseline,0,No DR,4,Proliferative DR,,0
EXP3,baseline,1,Mild NPDR,0,No DR,,0
EXP3,baseline,1,Mild NPDR,1,Mild NPDR,,1
EXP3,baseline,1,Mild NPDR,2,Moderate NPDR,,0
EXP3,baseline,1,Mild NPDR,3,Severe NPDR,,0
EXP3,baseline,1,Mild NPDR,4,Proliferative DR,,0
EXP3,baseline,2,Moderate NPDR,0,No DR,,0
EXP3,baseline,2,Moderate NPDR,1,Mild NPDR,,0
EXP3,baseline,2,Moderate NPDR,2,Moderate NPDR,,1
EXP3,baseline,2,Moderate NPDR,3,Severe NPDR,,0
EXP3,baseline,2,Moderate NPDR,4,Proliferative DR,,0
EXP3,baseline,3,Severe NPDR,0,No DR,,0
EXP3,baseline,3,Severe NPDR,1,Mild NPDR,,0
EXP3,baseline,3,Severe NPDR,2,Moderate NPDR,,0
EXP3,baseline,3,Severe NPDR,3,Severe NPDR,,1
EXP3,baseline,3,Severe NPDR,4,Proliferative DR,,0
EXP3,baseline,4,Proliferative DR,0,No DR,,0
EXP3,baseline,4,Proliferative DR,1,Mild NPDR,,0
EXP3,baseline,4,Proliferative DR,2,Moderate NPDR,,0
EXP3,baseline,4,Proliferative DR,3,Severe NPDR,,0
EXP3,baseline,4,Proliferative DR,4,Proliferative DR,,1
EXP4,baseline,0,No DR,0,No DR,,1
EXP4,baseline,0,No DR,1,Mild NPDR,,0
EXP4,baseline,0,No DR,2,Moderate NPDR,,0
